,dayofweek,hour,trip_num
0,1,0,1637.80769231
1,1,1,1088.90384615
2,1,2,719.711538462
3,1,3,538.980769231
4,1,4,560.692307692
5,1,5,471.346153846
6,1,6,750.788461538
7,1,7,1556.44230769
8,1,8,2327.90384615
9,1,9,2243.26923077
10,1,10,1914.0
11,1,11,1774.67307692
12,1,12,1751.98076923
13,1,13,1770.11538462
14,1,14,1992.11538462
15,1,15,2201.07692308
16,1,16,2364.90384615
17,1,17,2598.78846154
18,1,18,2841.38461538
19,1,19,2760.55769231
20,1,20,2405.57692308
21,1,21,2173.01923077
22,1,22,1913.26923077
23,1,23,1625.17307692
24,2,0,1225.15384615
25,2,1,817.211538462
26,2,2,511.0
27,2,3,368.038461538
28,2,4,383.961538462
29,2,5,364.384615385
30,2,6,696.461538462
31,2,7,1576.34615385
32,2,8,2381.34615385
33,2,9,2297.25
34,2,10,1963.01923077
35,2,11,1804.86538462
36,2,12,1786.26923077
37,2,13,1819.96153846
38,2,14,2072.42307692
39,2,15,2288.11538462
40,2,16,2457.38461538
41,2,17,2784.61538462
42,2,18,3127.92307692
43,2,19,3063.42307692
44,2,20,2708.21153846
45,2,21,2513.48076923
46,2,22,2263.55769231
47,2,23,1957.63461538
48,3,0,1470.61538462
49,3,1,991.096153846
50,3,2,615.269230769
51,3,3,423.365384615
52,3,4,410.576923077
53,3,5,377.653846154
54,3,6,719.942307692
55,3,7,1614.86538462
56,3,8,2451.03846154
57,3,9,2369.36538462
58,3,10,2032.15384615
59,3,11,1884.30769231
60,3,12,1886.75
61,3,13,1914.01923077
62,3,14,2179.65384615
63,3,15,2416.11538462
64,3,16,2645.42307692
65,3,17,2978.5
66,3,18,3306.76923077
67,3,19,3282.03846154
68,3,20,2956.26923077
69,3,21,2743.51923077
70,3,22,2563.88461538
71,3,23,2243.75
72,4,0,1818.41509434
73,4,1,1283.67924528
74,4,2,857.547169811
75,4,3,624.754716981
76,4,4,572.943396226
77,4,5,473.79245283
78,4,6,780.698113208
79,4,7,1644.28301887
80,4,8,2427.26415094
81,4,9,2353.56603774
82,4,10,2042.33962264
83,4,11,1928.52830189
84,4,12,1932.77358491
85,4,13,1975.79245283
86,4,14,2262.49056604
87,4,15,2531.50943396
88,4,16,2792.11320755
89,4,17,3177.16981132
90,4,18,3552.90566038
91,4,19,3527.37735849
92,4,20,3282.88679245
93,4,21,3175.94339623
94,4,22,3005.81132075
95,4,23,2727.0754717
96,5,0,2159.67307692
97,5,1,1582.07692308
98,5,2,1075.92307692
99,5,3,739.134615385
100,5,4,624.365384615
101,5,5,483.5
102,5,6,770.423076923
103,5,7,1605.75
104,5,8,2379.86538462
105,5,9,2370.55769231
106,5,10,2096.84615385
107,5,11,1996.71153846
108,5,12,1905.82692308
109,5,13,1884.92307692
110,5,14,2317.86538462
111,5,15,2733.80769231
112,5,16,3069.90384615
113,5,17,3550.73076923
114,5,18,4051.05769231
115,5,19,4186.88461538
116,5,20,3967.40384615
117,5,21,3934.67307692
118,5,22,4049.03846154
119,5,23,4191.30769231
120,6,0,3984.30769231
121,6,1,3509.32692308
122,6,2,2867.32692308
123,6,3,2253.67307692
124,6,4,1713.90384615
125,6,5,887.326923077
126,6,6,713.057692308
127,6,7,876.384615385
128,6,8,1239.36538462
129,6,9,1661.96153846
130,6,10,1940.13461538
131,6,11,2175.36538462
132,6,12,2335.26923077
133,6,13,2446.63461538
134,6,14,2712.57692308
135,6,15,3014.0
136,6,16,3272.96153846
137,6,17,3501.07692308
138,6,18,3900.48076923
139,6,19,4170.26923077
140,6,20,4044.21153846
141,6,21,4162.07692308
142,6,22,4356.75
143,6,23,4570.75
144,7,0,4409.55769231
145,7,1,4098.11538462
146,7,2,3317.05769231
147,7,3,2726.32692308
148,7,4,2053.36538462
149,7,5,1027.96153846
150,7,6,680.5
151,7,7,699.788461538
152,7,8,868.519230769
153,7,9,1260.40384615
154,7,10,1649.28846154
155,7,11,1948.01923077
156,7,12,2125.84615385
157,7,13,2231.82692308
158,7,14,2489.19230769
159,7,15,2691.5
160,7,16,2834.88461538
161,7,17,2921.59615385
162,7,18,3060.01923077
163,7,19,2967.84615385
164,7,20,2734.73076923
165,7,21,2572.98076923
166,7,22,2457.57692308
167,7,23,2165.86538462
